unspsc_code,unspsc_type,unspsc_title,unspsc_definition,cpv_match_1_code,cpv_match_1_name,cpv_match_2_code,cpv_match_2_name,cpv_match_3_code,cpv_match_3_name
10100000,Family,Live animals,,03320000-8,"Cattle, livestock and small animals",03324000-6,Live poultry,03310000-5,"Fish, crustaceans and aquatic products"
10110000,Family,Domestic pet products,,15710000-8,Prepared animal feeds for farm and other animals,03140000-4,Animal products and related products,85210000-3,Domestic animal nurseries
10120000,Family,Animal feed,"Animal feed is food given to domestic animals, especially livestock, in the course of animal husbandry.",15710000-8,Prepared animal feeds for farm and other animals,15700000-5,Animal feedstuffs,16630000-0,Machinery for preparing animal feeding stuffs
10130000,Family,Animal containment and habitats,,92530000-5,Botanical and zoological garden services and nature reserve services,85210000-3,Domestic animal nurseries,03320000-8,"Cattle, livestock and small animals"
10140000,Family,Saddlery and harness goods,,18910000-1,Saddlery,18900000-8,"Luggage, saddlery, sacks and bags",19120000-3,Leather of bovine or equine animals
10150000,Family,Seeds and bulbs and seedlings and cuttings,,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03111000-2,Seeds,03117200-6,Seeds of plants used in specific fields
10160000,Family,Floriculture and silviculture products,,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03441000-3,"Ornamental plants, grasses, mosses or lichens",03120000-8,Horticultural and nursery products
10170000,Family,Fertilizers and plant nutrients and herbicides,,24430000-7,Animal or vegetal fertilisers,24440000-0,Miscellaneous fertilisers,03100000-2,Agricultural and horticultural products
10190000,Family,Pest control products,"A product, device, organism, substance, or item that is manufactured, represented, sold or used as a means for directly or indirectly controlling, preventing, destroying, attracting, or repelling any pest.",33691300-3,"Ectoparasiticides, incl. scabicides, insecticides and repellents",33691000-0,"Antiparasitic products, insecticides and repellents",77231200-0,Forest pest control services
10200000,Family,Live rose bushes,Live bushes including the roots of roses,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products,03121000-5,Horticultural products
10210000,Family,Live plants of high species or variety count flowers,Live plants including the root ball of flower types with more than 5 varieties registered with unspsc,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03441000-3,"Ornamental plants, grasses, mosses or lichens",03120000-8,Horticultural and nursery products
10220000,Family,Live plants of low species or variety count flowers,Live plant including the root ball of flower types with less than 5 varieties registered with unspsc,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03441000-3,"Ornamental plants, grasses, mosses or lichens",03451000-6,Plants
